		Vehicle	Year	Month	Day					Start Time	Strop Time	Start Odometer	Stop Odometer	Trip Time (s)	Trip Time (hh:mm:ss)	Trip Miles	Stop Time(s)	Stop Time (hh:mm:ss)	Shape
7007	8885	ST3	2014	11	7	56:46.0	36:50.0	56:46.0	36:50.0	7:56AM	10:36AM	76.9449923	113.3517406	9604	2:40:04	36.40674826	1050	0:17:30	0x970E0000010C403940CFB2AF364180DA2798A9E52641
9019	9221	ST3	2014	11	7	54:20.0	11:26.0	54:20.0	11:26.0	10:54AM	11:11AM	113.0398123	116.4306339	1026	0:17:06	3.39082155	1596	0:26:36	0x970E0000010C80270DDB04B036418086E770ACE22641
9289	9807	ST3	2014	11	7	38:02.0	51:34.0	38:02.0	51:34.0	11:38AM	1:51PM	116.2641064	139.0553734	8012	2:13:32	22.79126691	90	0:01:30	0x970E0000010C00A237E42FBA3641805F0186E9D82641
9808	9976	ST3	2014	11	7	53:04.0	36:18.0	53:04.0	36:18.0	1:53PM	2:36PM	139.8364367	144.5414579	2594	0:43:14	4.70502121	233590	64:53:10	0x970E0000010CC0F332978199364180E59014D6162741
10426	10885	ST3	2014	11	10	29:28.0	09:10.0	29:28.0	09:10.0	7:29AM	8:09AM	144.5414579	147.8291319	2382	0:39:42	3.28767396	5907	1:38:27	0x970E0000010C80EB15CD37C0364100DABAEC91C72641
11654	12041	ST3	2014	11	10	47:37.0	20:19.0	47:37.0	20:19.0	9:47AM	10:20AM	147.8726278	156.8675944	1962	0:32:42	8.99496659	2989	0:49:49	0x970E0000010C807DE29BCEBE364180E640A866C82641
12426	12610	ST3	2014	11	10	10:08.0	29:44.0	10:08.0	29:44.0	11:10AM	11:29AM	156.8340404	158.6049478	1176	0:19:36	1.77090735	1684	0:28:04	0x970E0000010C40D47A8838B53641806404F77BDA2641
12723	13263	ST3	2014	11	10	57:48.0	49:28.0	57:48.0	49:28.0	11:57AM	1:49PM	158.5664228	173.8925385	6700	1:51:40	15.32611571	64424	17:53:44	0x970E0000010C80DE22DE1F993641000CCF1295132741
12818	13263	ST3	2014	11	10	21:29.0	49:28.0	21:29.0	49:28.0	12:21PM	1:49PM	158.543432	173.8925385	5279	1:27:59	15.34910644	64424	17:53:44	0x970E0000010C80DE22DE1F993641000CCF1295132741
14131	14370	ST3	2014	11	11	43:12.0	03:19.0	43:12.0	03:19.0	7:43AM	8:03AM	173.8925385	178.0209274	1207	0:20:07	4.12838893	2805	0:46:45	0x970E0000010C00E4E0BD89C136418050704860BD2641
14743	15881	ST3	2014	11	11	50:04.0	13:34.0	50:04.0	13:34.0	8:50AM	10:13AM	178.0097427	185.888727	5010	1:23:30	7.87898428	77533	21:32:13	0x970E0000010C002CDCBDADC1364100F5DBC4C5BD2641
16650	20019	ST3	2014	11	12	45:47.0	18:26.0	45:47.0	18:26.0	7:45AM	11:18AM	195.5460751	243.2300856	12759	3:32:39	47.68401054	200	0:03:20	0x970E0000010C8080492AC3AF36410061608E60E32641
20056	20470	ST3	2014	11	12	21:46.0	56:49.0	21:46.0	56:49.0	11:21AM	11:56AM	243.0517521	249.0336908	2103	0:35:03	5.98193862	113	0:01:53	0x970E0000010C40F08D8211E3364100C9F280FC662641
20487	21113	ST3	2014	11	12	58:42.0	26:51.0	58:42.0	26:51.0	11:58AM	12:26PM	249.027477	254.6477777	1689	0:28:09	5.6203007	274	0:04:34	0x970E0000010C001DECEFE7B23641809CE7883AC02641
21151	21893	ST3	2014	11	12	31:25.0	08:28.0	31:25.0	08:28.0	12:31PM	2:08PM	254.4352689	279.2087093	5823	1:37:03	24.7734404	62490	17:21:30	0x970E0000010C80615E199D99364100C47D5DAA162741
15305	15883	ST96	2014	11	11	37:01.0	13:41.0	37:01.0	13:41.0	9:37AM	10:13AM	12.44295427	16.65647103	2200	0:36:40	4.21351676	76839	21:20:39	0x970E0000010CC0A1AB10ED92364100248C23C08E2641
16511	21848	ST96	2014	11	12	34:20.0	57:17.0	34:20.0	57:17.0	7:34AM	1:57PM	24.49382345	43.69294461	22977	6:22:57	19.19912116	1730	0:28:50	0x970E0000010C801ABAB75299364180E2F0320F172741
